date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:08	234591/234591	---M-Z	200	added ('OK')	text/html	etag:%226460e97-3945f-5c3c32aa39d51-gzip%22	https://creativelayers.net/themes/techno-html/index.html	D:/WinHTTrack/duan1/creativelayers.net/themes/techno-html/index.html	(from )
17:41:09	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Nov%202023%2010:41:11%20GMT	https://creativelayers.net/robots.txt		(from )
17:41:09	150996/150996	---M-Z	200	added ('OK')	text/css	etag:%226460ec9-24dd4-5c3c32b7784a4-gzip%22	https://creativelayers.net/themes/techno-html/stylesheets/bootstrap.min.css	D:/WinHTTrack/duan1/creativelayers.net/themes/techno-html/stylesheets/bootstrap.min.css	(from https://creativelayers.net/themes/techno-html/index.html)
17:41:09	61757/61757	---M-Z	200	added ('OK')	text/css	etag:%226460ed1-f13d-5c3c32b922d04-gzip%22	https://creativelayers.net/themes/techno-html/stylesheets/style.css	D:/WinHTTrack/duan1/creativelayers.net/themes/techno-html/stylesheets/style.css	(from https://creativelayers.net/themes/techno-html/index.html)
17:41:09	31838/31838	---M-Z	200	added ('OK')	text/css	etag:%226460ecf-7c5e-5c3c32b8ad229-gzip%22	https://creativelayers.net/themes/techno-html/stylesheets/responsive.css	D:/WinHTTrack/duan1/creativelayers.net/themes/techno-html/stylesheets/responsive.css	(from https://creativelayers.net/themes/techno-html/index.html)
17:41:10	2846/2846	---M--	200	added ('OK')	image/png	etag:%226460eab-b1e-5c3c32af55b93%22	https://creativelayers.net/themes/techno-html/favicon/favicon.png	D:/WinHTTrack/duan1/creativelayers.net/themes/techno-html/favicon/favicon.png	(from https://creativelayers.net/themes/techno-html/index.html)
17:41:10	151/151	---M--	200	added ('OK')	image/png	etag:%226460f7a-97-5c3c32e5909b4%22	https://creativelayers.net/themes/techno-html/images/icons/right-2.png	D:/WinHTTrack/duan1/creativelayers.net/themes/techno-html/images/icons/right-2.png	(from https://creativelayers.net/themes/techno-html/index.html)
17:41:11	61108/61108	---M-Z	200	added ('OK')	text/html	etag:%226460e8d-eeb4-5c3c32a6c48ef-gzip%22	https://creativelayers.net/themes/techno-html/faq.html	D:/WinHTTrack/duan1/creativelayers.net/themes/techno-html/faq.html	(from https://creativelayers.net/themes/techno-html/index.html)
17:41:11	39660/39660	---M--	200	added ('OK')	image/png	etag:%226460f45-9aec-5c3c32d98f0cf%22	https://creativelayers.net/themes/techno-html/images/banner_boxes/popup.png	D:/WinHTTrack/duan1/creativelayers.net/themes/techno-html/images/banner_boxes/popup.png	(from https://creativelayers.net/themes/techno-html/index.html)
17:41:11	60101/60101	---M-Z	200	added ('OK')	text/html	etag:%226460ea6-eac5-5c3c32ae2351e-gzip%22	https://creativelayers.net/themes/techno-html/store-location.html	D:/WinHTTrack/duan1/creativelayers.net/themes/techno-html/store-location.html	(from https://creativelayers.net/themes/techno-html/index.html)
